name,url,category,notes
Chung Cheng High School (Main),https://www.chungchenghighmain.moe.edu.sg/,secondary,SAP; Autonomous; GOVERNMENT-AIDED SCH
Chung Cheng High School (Yishun),https://www.chungchenghighyishun.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Clementi Town Secondary School,https://www.clementitownsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Commonwealth Secondary School,https://www.commonwealthsec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Compassvale Secondary School,https://www.compassvalesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Crescent Girls' School,https://www.crescent.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
Crest Secondary School,https://www.crestsec.edu.sg/,secondary,SPECIALISED INDEPENDENT SCHOOL
Damai Secondary School,https://www.damaisec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Deyi Secondary School,https://www.deyisec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Dunearn Secondary School,https://www.dunearnsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Dunman High School,https://www.dunmanhigh.moe.edu.sg/,secondary,SAP; Autonomous; GEP; IP; GOVERNMENT SCHOOL; IP/through-train
Dunman Secondary School,https://www.dunmansec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT SCHOOL
East Spring Secondary School,https://www.eastspringsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Edgefield Secondary School,https://www.edgefieldsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Evergreen Secondary School,https://www.evergreensec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Fairfield Methodist School (Secondary),https://www.fairfieldmethodistsec.moe.edu.sg/,secondary,Autonomous; GOVERNMENT-AIDED SCH
Fuhua Secondary School,https://www.fuhuasec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Gan Eng Seng School,https://www.ganengsengsch.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Geylang Methodist School (Secondary),https://www.geylangmethodistsec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Greendale Secondary School,https://www.greendalesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
